Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Buesum,312,83,54.0,37.8,1980.5,1983.3,1988.4,1992.5,196.2,379.3,285.7,205.7,34.5,90.0,206.6,118.8,21.0,81.7,85.2,89.4,128.1,89.7,38.4,9620.3,6733.5,2886.8,9805.0,6862.8,2942.2
Vierow,253,90,95.4,136.8,1996.7,1993.1,2000.0,2000.1,137.4,267.0,352.7,363.2,51.0,146.9,191.7,189.2,20.0,79.3,59.9,55.2,122.2,83.1,39.1,9176.0,6239.3,2936.7,9352.2,6359.1,2993.0
Buetzfleth,251,84,323.4,497.0,1993.7,2001.2,2004.8,2005.9,97.0,225.5,513.5,614.1,21.0,105.6,291.5,314.3,24.0,65.7,31.7,26.4,128.8,92.9,35.9,9699.3,7002.1,2697.2,9885.5,7136.5,2749.0
Kiel,235,75,157.7,64.4,1985.0,1986.9,2007.4,2001.4,146.3,300.9,386.4,346.8,43.0,121.2,105.6,149.4,19.0,83.8,134.4,278.6,159.8,113.5,46.4,12002.7,8519.0,3483.6,12233.1,8682.6,3550.5
Langeoog,234,139,668.7,618.5,1994.6,2004.2,2010.1,2011.0,104.0,110.0,76.8,77.8,14.0,30.6,24.7,18.1,33.0,45.0,43.6,46.6,169.9,79.9,90.1,12815.8,6003.9,6812.0,13061.9,6119.1,6942.7
Hoernum,223,76,73.7,32.1,1981.8,1982.0,2002.8,2004.1,173.5,462.1,314.5,226.8,33.0,72.4,150.5,91.7,28.0,90.4,110.2,87.0,100.7,57.0,43.7,7559.4,4278.7,3280.7,7704.6,4360.9,3343.7
Gager,222,68,191.5,249.7,1998.9,1996.6,2005.3,2004.2,140.8,347.3,382.2,398.7,47.0,100.4,156.0,161.9,18.5,91.4,62.4,51.9,119.1,87.9,31.2,8810.7,6517.9,2292.7,8979.8,6643.1,2336.8
Brunsbuettel,221,121,65.8,81.6,1994.8,1996.7,2003.9,2004.8,91.1,106.7,97.6,84.9,19.0,40.8,89.9,52.0,21.0,47.8,51.7,41.7,76.3,46.3,29.9,5727.6,3479.3,2248.3,5837.5,3546.1,2291.5
Wedel,205,34,205.3,270.0,1994.6,1994.0,1997.8,1997.3,68.7,384.3,902.5,1001.5,11.0,269.2,298.2,298.3,2.0,115.4,37.0,27.3,101.2,80.2,21.0,7487.4,5937.4,1550.0,7631.1,6051.3,1579.8
Nordenham,192,60,106.6,154.8,1995.8,1997.3,2001.6,2001.9,139.4,327.2,189.8,177.5,50.5,158.5,254.3,234.9,14.0,57.1,68.5,54.1,110.2,74.6,35.6,8275.6,5600.6,2675.0,8434.5,5708.2,2726.3
