alpha-3,country-code,Inventory,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop,ene_tj_pc,ene_tj_voy_pc,ene_tj_stop_pc,co2e_t_pc,co2e_t_voy_pc,co2e_t_stop_pc
PNG,598,All Global Voyages,2739872.0,58539.0,81475141.7,114361946.3,2002.6,2002.5,2008.8,2009.1,358.8,1354.1,1507.6,1784.2,41.0,231.2,403.1,445.6,19.0,89.0,69.9,77.7,9402364.3,8131271.3,1271093.0,715428735.4,618723859.3,96704876.1,729164967.1,630603357.4,98561609.7,100.0,100.0,100.0,100.0,100.0,100.0
PNG,598,All International Voyages,1244079.0,43111.0,72080717.8,102661963.7,2003.7,2003.9,2009.1,2009.4,663.1,1807.6,2057.2,2437.2,67.0,235.5,428.7,472.1,22.0,85.3,69.1,76.9,7421794.7,6689478.0,732316.7,564552047.5,508802890.5,55749157.0,575391446.8,518571906.0,56819540.9,78.93540883115962,82.26853776235458,57.613148683849246,78.91101091820406,82.23424438114164,57.64875499999063
PNG,598,All Domestic Voyages,1495793.0,55373.0,9394423.9,11699982.6,2001.6,2002.7,2006.1,2006.6,222.5,777.4,494.4,532.4,27.0,173.3,206.5,213.1,17.0,86.5,76.1,84.0,1980569.6,1441793.3,538776.3,150876687.9,109920968.8,40955719.1,153773520.3,112031451.4,41742068.9,21.064591168840373,17.731462237645424,42.38685131615075,21.088989081795948,17.765755618858368,42.35124510146875
PNG,598,Int. Arr. Inventory,1140.0,545.0,75594.7,79959.4,2004.5,2004.4,2009.5,2008.7,2506.8,2882.1,2867.8,2754.5,213.0,344.8,328.9,323.1,36.0,111.7,86.3,99.6,10207.1,8965.8,1241.4,742488.1,650811.8,91676.3,756743.9,663307.4,93436.5,0.10855886534836776,0.11026320078632722,0.0976639789535463,0.10378226247068419,0.10518615104347682,0.0948000953762832
PNG,598,Int. Dep. Inventory,1140.0,535.0,80108.0,86044.7,2004.5,2004.4,2009.5,2008.8,2718.7,3243.2,3037.1,2979.6,254.0,420.9,361.3,388.2,37.0,149.8,60.0,68.5,11509.2,10187.5,1321.7,830733.7,730526.9,100206.9,846683.8,744553.0,102130.8,0.12240750977921586,0.12528791162090483,0.10398137665772686,0.11611690607783727,0.11806993909290595,0.10362127841749322
PNG,598,Domestic Inventory,2543.0,277.0,9607.7,11648.7,2005.8,2004.3,2005.8,2006.4,442.9,842.9,535.7,534.9,52.0,147.8,187.4,182.0,36.0,82.1,130.4,139.0,4154.7,2774.0,1380.7,315176.1,211005.8,104170.3,321227.5,215057.1,106170.3,0.044187821992815145,0.03411520656062724,0.10862305118508245,0.04405415982580329,0.03410338645938837,0.10771973014965888
TUR,792,All Global Voyages,2739872.0,58539.0,81475141.7,114361946.3,2002.6,2002.5,2008.8,2009.1,358.8,1354.1,1507.6,1784.2,41.0,231.2,403.1,445.6,19.0,89.0,69.9,77.7,9402364.3,8131271.3,1271093.0,715428735.4,618723859.3,96704876.1,729164967.1,630603357.4,98561609.7,100.0,100.0,100.0,100.0,100.0,100.0
TUR,792,All International Voyages,1244079.0,43111.0,72080717.8,102661963.7,2003.7,2003.9,2009.1,2009.4,663.1,1807.6,2057.2,2437.2,67.0,235.5,428.7,472.1,22.0,85.3,69.1,76.9,7421794.7,6689478.0,732316.7,564552047.5,508802890.5,55749157.0,575391446.8,518571906.0,56819540.9,78.93540883115962,82.26853776235458,57.613148683849246,78.91101091820406,82.23424438114164,57.64875499999063
TUR,792,All Domestic Voyages,1495793.0,55373.0,9394423.9,11699982.6,2001.6,2002.7,2006.1,2006.6,222.5,777.4,494.4,532.4,27.0,173.3,206.5,213.1,17.0,86.5,76.1,84.0,1980569.6,1441793.3,538776.3,150876687.9,109920968.8,40955719.1,153773520.3,112031451.4,41742068.9,21.064591168840373,17.731462237645424,42.38685131615075,21.088989081795948,17.765755618858368,42.35124510146875
TUR,792,Int. Arr. Inventory,42089.0,7663.0,873644.0,1306884.7,1999.3,2003.7,2007.2,2007.7,485.3,1217.3,1115.4,1161.8,65.0,148.7,271.5,293.1,18.0,57.0,54.1,56.3,110602.5,95960.7,14641.8,8480497.2,7361725.5,1118771.7,8643322.7,7503070.6,1140252.1,1.1763264692902826,1.1801438724594024,1.1519062727904252,1.185372733193122,1.1898240806924063,1.15689273285073
