Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Gibraltar,49,49,7694.8,13807.9,2011.1,2011.1,2012.4,2012.4,2708.9,3400.5,3573.7,3589.9,283.0,359.8,404.7,408.4,9.0,11.4,10.4,10.4,650.9,634.1,16.7,50419.8,49122.7,1297.1,51387.8,50065.8,1322.0
Belgium,35,34,8941.6,15092.7,2010.9,2011.1,2012.7,2012.8,4000.7,4967.8,4687.6,4754.6,377.0,474.0,462.0,472.9,65.0,67.8,93.3,100.8,1043.6,874.9,168.7,80228.5,67563.1,12665.3,81768.9,68860.4,12908.5
United Kingdom of Great Britain and Northern Ireland,22,20,4003.3,6986.0,2012.0,2011.8,2012.6,2012.7,4146.5,4450.7,4844.7,4928.9,506.0,453.2,552.6,554.8,49.0,71.4,86.4,86.3,411.3,373.9,37.5,31784.8,28922.9,2861.9,32395.1,29478.2,2916.8
Australia,21,19,8222.0,9555.8,2006.4,2005.6,2004.6,2005.2,7782.1,6971.6,7130.7,6836.0,462.0,456.2,462.8,464.8,69.0,71.8,82.9,81.3,949.2,928.6,20.6,73526.3,71928.9,1597.3,74938.0,73309.9,1628.0
Libya,21,14,3366.4,4528.2,2011.3,2009.4,2010.2,2009.9,1680.2,2724.7,2680.9,3498.2,140.0,233.7,765.3,1033.7,31.0,37.0,25.0,19.7,223.2,211.4,11.8,17292.7,16375.8,916.9,17624.7,16690.2,934.5
Brazil,20,18,21029.6,40743.8,2011.2,2011.3,2010.4,2010.4,8809.7,10400.0,12499.7,12546.2,822.0,996.6,1397.7,1402.2,81.5,106.6,127.1,127.4,1344.1,1237.4,106.6,104020.5,95762.5,8258.0,106017.7,97601.1,8416.6
"Tanzania, United Republic of",16,14,2343.7,3755.9,2005.1,2007.4,2009.0,2010.5,3010.9,3003.4,3031.7,3073.2,255.0,236.6,247.1,251.2,170.0,337.9,367.7,391.0,383.0,201.0,182.1,29670.1,15566.3,14103.8,30239.7,15865.2,14374.6
Russian Federation,14,14,1823.0,2827.9,2008.0,2008.0,2010.3,2010.3,2181.3,2702.2,3331.4,2989.3,235.0,343.3,436.9,418.3,116.5,147.0,99.7,112.5,159.2,147.3,11.9,12333.4,11413.4,920.0,12570.2,11632.6,937.7
Réunion,12,11,2086.7,2415.2,2000.5,2000.2,2000.6,2000.5,3173.7,3012.9,3103.3,3095.9,186.5,186.8,188.6,190.1,19.0,28.7,29.8,30.4,257.3,251.6,5.7,19928.0,19489.7,438.4,20310.7,19863.9,446.8
Bangladesh,12,12,685.5,1059.4,2008.8,2008.8,2009.6,2009.9,3604.1,3746.7,3696.7,3686.9,303.0,323.6,330.9,333.3,84.0,229.9,307.5,320.4,101.8,92.0,9.8,7862.7,7107.4,755.4,8013.7,7243.8,769.9
Philippines,11,11,8054.0,14949.6,2005.9,2005.9,2005.0,2004.9,5332.2,5523.1,5538.9,5540.6,420.0,432.3,442.4,443.7,39.0,61.6,66.3,67.1,540.1,482.9,57.2,41838.1,37406.0,4432.1,42641.4,38124.2,4517.1
